Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
1e621f4c-db30-c273-49e9-2dcad508a9cb,2010-07-24,,999-35-9473,,,,Jessie665,Foster87,Glover433,,,,white,nonhispanic,M,Lawrence  Massachusetts  US,560 Ritchie Way Suite 68,Whitman,Massachusetts,Plymouth County,,00000,42.10957358454285,-70.92325038595365,10232.36,0.00,102779
069b5064-ff05-2225-3995-f32685518bc6,1996-01-18,,999-93-4678,S99964013,X51256714X,Mrs.,Cordie578,Kelsey155,Herman763,,Bechtelar572,M,white,nonhispanic,F,Carlisle  Massachusetts  US,1069 Heller Junction,Lowell,Massachusetts,Middlesex County,25017,01850,42.68410524982884,-71.34656384141942,11869.96,0.00,124612
7353e17f-0cd5-5b0a-c736-92b9ca5f8366,1998-08-14,,999-78-1102,S99986486,X27383713X,Mr.,Lavern240,Zack583,Treutel973,,,,white,nonhispanic,M,Newbury  Massachusetts  US,942 Fahey Overpass Apt 21,Watertown,Massachusetts,Middlesex County,25017,02472,42.36435233629667,-71.22775280842897,11040.00,0.00,141031
347ceebf-0248-5a56-14f3-e1e8e8ffb73c,1925-04-20,,999-39-7452,S99997712,X25326533X,Ms.,Lecia978,Lizabeth515,Sanford861,,,S,white,nonhispanic,F,Fitchburg  Massachusetts  US,206 Stokes Lane,Franklin,Massachusetts,Norfolk County,25021,02038,42.084721550380145,-71.43950104028177,8385.96,13459.20,18756
3f6021df-8aac-ed27-a705-e71bc0e4b649,2009-08-29,,999-26-5091,S99990879,,,Xavier983,,Ratke343,,,,native,nonhispanic,M,Winchester  Massachusetts  US,1019 Farrell Center Suite 64,Revere,Massachusetts,Suffolk County,25025,02151,42.38397096403015,-70.98551253821184,1700.00,8941.16,22038
39a59f42-5a52-886d-844b-183228219521,2007-04-15,,999-23-7837,S99932925,,Ms.,Vonda514,,Littel644,,,,white,nonhispanic,F,Nice  Provence-Alpes-Cote d'Azur  FR,508 Gerhold View Unit 85,Worcester,Massachusetts,Worcester County,25027,01602,42.177418916419676,-71.74487793141057,11050.76,0.00,95959
8c85983a-a538-522f-bce0-03678b0fc7ce,2017-10-18,,999-54-6293,,,,Josiah310,,Schaden604,,,,white,nonhispanic,M,Mansfield  Massachusetts  US,151 Herman Viaduct,Newburyport,Massachusetts,Essex County,25009,01950,42.79672804284526,-70.93179194295928,7085.60,0.00,878354
79590754-4679-dafd-8aab-103706580fff,1958-06-16,,999-94-4169,S99982014,X3508176X,Mrs.,Dennise990,Ardath226,Schuster709,,Rath779,D,asian,nonhispanic,F,Haiphong  Kiến An  VN,1035 Monahan Loaf Suite 17,Peabody,Massachusetts,Essex County,25009,01960,42.558683897472406,-70.98091023904352,20083.15,391.40,81174
2c7f251b-4cd9-fe29-b244-63c2271e15e2,1960-04-25,,999-75-4343,S99931138,X28878815X,Mrs.,Winter723,Otha286,MacGyver246,,Flatley871,D,white,nonhispanic,F,Lexington  Massachusetts  US,269 Padberg Trail Unit 60,Arlington,Massachusetts,Middlesex County,25017,02474,42.42628209491289,-71.17760231820395,6450.00,9791.16,23284
2e23caa4-d831-1f47-c522-0518bab7bd3d,1946-10-02,,999-36-7116,S99922309,X14380659X,Mr.,Mariano761,Joaquín233,Tamez493,,,M,white,hispanic,M,Panama City  Panama  PA,956 Baumbach Passage,Saugus,Massachusetts,Essex County,25009,01906,42.50608164040751,-71.00809101378341,17317.32,1519.04,109315
